Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-16T22:11:00.720;538359019632351352;-638;738;105
2021-11-16T22:11:00.739;538359019651963728;-631;660;30
2021-11-16T22:11:00.759;538359019671576104;-648;706;46
2021-11-16T22:11:00.778;538359019691188480;-626;705;-61
2021-11-16T22:11:00.798;538359019710800856;-702;663;83
2021-11-16T22:11:00.818;538359019730413232;-606;724;83
2021-11-16T22:11:00.837;538359019750025608;-621;687;101
2021-11-16T22:11:00.857;538359019769637984;-653;722;149
2021-11-16T22:11:00.876;538359019789250360;-754;651;118
2021-11-16T22:11:00.896;538359019808862736;-714;682;27
2021-11-16T22:11:00.916;538359019828475112;-658;677;-40
2021-11-16T22:11:00.935;538359019848087488;-621;725;6
2021-11-16T22:11:00.955;538359019867699864;-517;802;-18
2021-11-16T22:11:00.974;538359019887312240;-339;909;34
2021-11-16T22:11:00.994;538359019906924616;-340;976;180
2021-11-16T22:11:01.014;538359019926536992;-522;875;106
2021-11-16T22:11:01.033;538359019946149368;-477;898;-10
2021-11-16T22:11:01.053;538359019965761744;-367;1000;112
2021-11-16T22:11:01.073;538359019985374120;-407;1082;157
2021-11-16T22:11:01.092;538359020004986496;-551;1028;12
2021-11-16T22:11:01.112;538359020024598872;-748;919;323
2021-11-16T22:11:01.131;538359020044211248;-818;754;659
2021-11-16T22:11:01.151;538359020063823624;-764;557;747
2021-11-16T22:11:01.171;538359020083436000;-645;371;672
2021-11-16T22:11:01.190;538359020103048376;-546;226;574
2021-11-16T22:11:01.210;538359020122660752;-512;88;532
2021-11-16T22:11:01.229;538359020142273128;-535;-25;468
2021-11-16T22:11:01.249;538359020161885504;-2773;-117;-869
2021-11-16T22:11:01.269;538359020181497880;-760;321;-283
2021-11-16T22:11:01.288;538359020201110256;-966;62;-97
2021-11-16T22:11:01.308;538359020220722632;-1353;315;-671
2021-11-16T22:11:01.327;538359020240335008;-993;512;-435
2021-11-16T22:11:01.347;538359020259947384;-938;589;-297
2021-11-16T22:11:01.367;538359020279559760;-759;684;-335
2021-11-16T22:11:01.386;538359020299172136;-687;675;-131
2021-11-16T22:11:01.406;538359020318784512;-596;793;39
2021-11-16T22:11:01.426;538359020338396892;-461;826;167
2021-11-16T22:11:01.445;538359020358009268;-545;842;50
2021-11-16T22:11:01.465;538359020377621644;-520;905;51
2021-11-16T22:11:01.484;538359020397234020;-466;840;114
2021-11-16T22:11:01.504;538359020416846396;-494;871;170
2021-11-16T22:11:01.524;538359020436458772;-440;933;279
2021-11-16T22:11:01.543;538359020456071148;-399;975;210
2021-11-16T22:11:01.563;538359020475683524;-426;1030;212
2021-11-16T22:11:01.582;538359020495295900;-370;976;6
2021-11-16T22:11:01.602;538359020514908276;-329;920;148
2021-11-16T22:11:01.622;538359020534520652;-386;840;217
2021-11-16T22:11:01.641;538359020554133028;-376;854;413
2021-11-16T22:11:01.661;538359020573745404;-417;808;506
2021-11-16T22:11:01.681;538359020593357780;-425;801;509
2021-11-16T22:11:01.700;538359020612970156;-323;834;431
2021-11-16T22:11:01.720;538359020632582532;-265;861;365
