Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:23:47.805;540170643428939345;288;-1030;363
2021-12-07T21:23:47.824;540170643448459606;357;-1052;269
2021-12-07T21:23:47.844;540170643467979867;166;-1062;479
2021-12-07T21:23:47.863;540170643487500128;288;-1032;283
2021-12-07T21:23:47.883;540170643507020389;121;-1019;304
2021-12-07T21:23:47.902;540170643526540650;188;-957;259
2021-12-07T21:23:47.922;540170643546060911;119;-961;345
2021-12-07T21:23:47.941;540170643565581172;49;-936;301
2021-12-07T21:23:47.961;540170643585101433;100;-925;397
2021-12-07T21:23:47.980;540170643604621694;15;-890;788
2021-12-07T21:23:48.000;540170643624141955;117;-975;767
2021-12-07T21:23:48.019;540170643643662216;195;-940;660
2021-12-07T21:23:48.039;540170643663182477;313;-893;544
2021-12-07T21:23:48.058;540170643682702738;401;-951;450
2021-12-07T21:23:48.078;540170643702222999;264;-984;501
2021-12-07T21:23:48.097;540170643721743260;559;-1208;373
2021-12-07T21:23:48.117;540170643741263521;166;-1156;202
2021-12-07T21:23:48.136;540170643760783782;373;-1268;93
2021-12-07T21:23:48.156;540170643780304043;184;-1224;476
2021-12-07T21:23:48.175;540170643799824304;118;-908;558
2021-12-07T21:23:48.195;540170643819344565;257;-1065;675
2021-12-07T21:23:48.214;540170643838864826;84;-1067;546
2021-12-07T21:23:48.234;540170643858385087;-38;-1011;398
2021-12-07T21:23:48.253;540170643877905348;9;-956;365
2021-12-07T21:23:48.273;540170643897425609;19;-875;489
2021-12-07T21:23:48.293;540170643916945870;29;-819;608
2021-12-07T21:23:48.312;540170643936466131;17;-844;687
2021-12-07T21:23:48.332;540170643955986392;-88;-899;589
2021-12-07T21:23:48.351;540170643975506653;-15;-866;738
2021-12-07T21:23:48.371;540170643995026914;34;-804;669
2021-12-07T21:23:48.390;540170644014547175;151;-689;697
2021-12-07T21:23:48.410;540170644034067436;306;-610;669
2021-12-07T21:23:48.429;540170644053587697;560;-573;562
2021-12-07T21:23:48.449;540170644073107958;525;-711;532
2021-12-07T21:23:48.468;540170644092628219;436;-992;459
2021-12-07T21:23:48.488;540170644112148480;137;-1156;540
2021-12-07T21:23:48.507;540170644131668765;65;-1203;327
2021-12-07T21:23:48.527;540170644151189026;-165;-1217;395
2021-12-07T21:23:48.546;540170644170709287;4;-1112;178
2021-12-07T21:23:48.566;540170644190229548;121;-1081;129
2021-12-07T21:23:48.585;540170644209749809;108;-985;460
2021-12-07T21:23:48.605;540170644229270070;316;-991;492
2021-12-07T21:23:48.624;540170644248790331;244;-1053;541
2021-12-07T21:23:48.644;540170644268310592;69;-1078;556
2021-12-07T21:23:48.663;540170644287830853;145;-1057;571
2021-12-07T21:23:48.683;540170644307351114;285;-1001;562
2021-12-07T21:23:48.702;540170644326871375;377;-909;626
2021-12-07T21:23:48.722;540170644346391636;422;-854;494
2021-12-07T21:23:48.741;540170644365911897;293;-827;584
2021-12-07T21:23:48.761;540170644385432158;499;-870;433
2021-12-07T21:23:48.781;540170644404952419;394;-845;544
2021-12-07T21:23:48.800;540170644424472680;577;-876;437
2021-12-07T21:23:48.820;540170644443992941;512;-863;510
2021-12-07T21:23:48.839;540170644463513202;355;-982;586
2021-12-07T21:23:48.859;540170644483033463;133;-1087;520
2021-12-07T21:23:48.878;540170644502553724;-52;-1115;402
2021-12-07T21:23:48.898;540170644522073985;-33;-1078;338
2021-12-07T21:23:48.917;540170644541594246;175;-891;384
2021-12-07T21:23:48.937;540170644561114507;385;-770;477
2021-12-07T21:23:48.956;540170644580634768;376;-797;531
2021-12-07T21:23:48.976;540170644600155029;317;-942;537
2021-12-07T21:23:48.995;540170644619675290;245;-1031;553
2021-12-07T21:23:49.015;540170644639195551;192;-950;687
2021-12-07T21:23:49.034;540170644658715812;390;-895;392
2021-12-07T21:23:49.054;540170644678236073;405;-743;461
2021-12-07T21:23:49.073;540170644697756334;431;-762;614
2021-12-07T21:23:49.093;540170644717276595;239;-805;689
2021-12-07T21:23:49.112;540170644736796856;230;-909;725
2021-12-07T21:23:49.132;540170644756317117;209;-1006;626
2021-12-07T21:23:49.151;540170644775837378;204;-1142;339
2021-12-07T21:23:49.171;540170644795357639;94;-1270;245
2021-12-07T21:23:49.190;540170644814877900;91;-1338;89
2021-12-07T21:23:49.210;540170644834398185;28;-1341;75
2021-12-07T21:23:49.229;540170644853918446;102;-1242;391
2021-12-07T21:23:49.249;540170644873438707;294;-1146;337
2021-12-07T21:23:49.269;540170644892958968;492;-1114;358
2021-12-07T21:23:49.288;540170644912479229;462;-1126;382
2021-12-07T21:23:49.308;540170644931999490;509;-1134;357
2021-12-07T21:23:49.327;540170644951519751;542;-1052;415
2021-12-07T21:23:49.347;540170644971040012;579;-993;473
2021-12-07T21:23:49.366;540170644990560273;690;-887;328
2021-12-07T21:23:49.386;540170645010080534;483;-935;515
2021-12-07T21:23:49.405;540170645029600795;413;-1014;440
2021-12-07T21:23:49.425;540170645049121056;662;-1134;243
2021-12-07T21:23:49.444;540170645068641317;424;-1148;642
2021-12-07T21:23:49.464;540170645088161578;676;-1184;-80
2021-12-07T21:23:49.483;540170645107681839;475;-1130;269
2021-12-07T21:23:49.503;540170645127202100;427;-1181;62
2021-12-07T21:23:49.522;540170645146722361;366;-1209;294
2021-12-07T21:23:49.542;540170645166242622;312;-1202;505
2021-12-07T21:23:49.561;540170645185762883;455;-1266;-83
