Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:21:24.075;540170499686106426;453;-1007;173
2021-12-07T21:21:24.094;540170499705622318;483;-1005;147
2021-12-07T21:21:24.114;540170499725138210;380;-1014;1
2021-12-07T21:21:24.133;540170499744654102;464;-1039;87
2021-12-07T21:21:24.153;540170499764169994;500;-1063;253
2021-12-07T21:21:24.172;540170499783685886;518;-1052;192
2021-12-07T21:21:24.192;540170499803201778;552;-1013;471
2021-12-07T21:21:24.211;540170499822717670;397;-900;-358
2021-12-07T21:21:24.231;540170499842233562;579;-929;99
2021-12-07T21:21:24.250;540170499861749454;532;-989;379
2021-12-07T21:21:24.270;540170499881265346;447;-994;228
2021-12-07T21:21:24.289;540170499900781238;375;-986;348
2021-12-07T21:21:24.309;540170499920297130;380;-1007;-35
2021-12-07T21:21:24.328;540170499939813022;351;-1026;434
2021-12-07T21:21:24.348;540170499959328914;387;-975;559
2021-12-07T21:21:24.367;540170499978844806;319;-1030;157
2021-12-07T21:21:24.387;540170499998360698;301;-1105;323
2021-12-07T21:21:24.406;540170500017876590;287;-1115;531
2021-12-07T21:21:24.426;540170500037392482;178;-1146;124
2021-12-07T21:21:24.445;540170500056908374;163;-1126;445
2021-12-07T21:21:24.465;540170500076424266;191;-1206;168
2021-12-07T21:21:24.484;540170500095940158;154;-1108;461
2021-12-07T21:21:24.504;540170500115456050;111;-1080;370
2021-12-07T21:21:24.523;540170500134971942;214;-927;780
2021-12-07T21:21:24.543;540170500154487834;62;-894;199
2021-12-07T21:21:24.562;540170500174003726;95;-786;359
2021-12-07T21:21:24.582;540170500193519618;278;-696;565
2021-12-07T21:21:24.601;540170500213035510;581;-801;603
2021-12-07T21:21:24.621;540170500232551402;543;-552;918
2021-12-07T21:21:24.640;540170500252067294;809;-753;534
2021-12-07T21:21:24.660;540170500271583186;695;-782;184
2021-12-07T21:21:24.679;540170500291099078;656;-818;-107
2021-12-07T21:21:24.699;540170500310614970;765;-777;24
2021-12-07T21:21:24.719;540170500330130862;759;-821;173
2021-12-07T21:21:24.738;540170500349646754;947;-994;-50
2021-12-07T21:21:24.758;540170500369162646;552;-955;151
2021-12-07T21:21:24.777;540170500388678564;476;-1117;103
2021-12-07T21:21:24.797;540170500408194456;343;-1239;-37
2021-12-07T21:21:24.816;540170500427710348;414;-1239;50
2021-12-07T21:21:24.836;540170500447226240;536;-1162;75
2021-12-07T21:21:24.855;540170500466742132;592;-1027;270
2021-12-07T21:21:24.875;540170500486258024;651;-950;-47
2021-12-07T21:21:24.894;540170500505773916;582;-930;291
2021-12-07T21:21:24.914;540170500525289808;510;-826;56
2021-12-07T21:21:24.933;540170500544805700;461;-830;-119
2021-12-07T21:21:24.953;540170500564321592;448;-767;358
2021-12-07T21:21:24.972;540170500583837484;622;-695;406
2021-12-07T21:21:24.992;540170500603353376;629;-684;681
2021-12-07T21:21:25.011;540170500622869268;465;-702;597
2021-12-07T21:21:25.031;540170500642385160;422;-773;459
2021-12-07T21:21:25.050;540170500661901052;451;-789;461
2021-12-07T21:21:25.070;540170500681416944;520;-902;415
2021-12-07T21:21:25.089;540170500700932836;386;-1095;252
2021-12-07T21:21:25.109;540170500720448728;262;-1060;149
2021-12-07T21:21:25.128;540170500739964620;282;-1043;249
2021-12-07T21:21:25.148;540170500759480512;385;-1084;409
2021-12-07T21:21:25.167;540170500778996404;370;-1107;351
2021-12-07T21:21:25.187;540170500798512296;315;-1134;208
2021-12-07T21:21:25.206;540170500818028188;222;-1157;39
