Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:29:05.948;540170961628479721;996;-1379;-7
2021-12-07T21:29:05.967;540170961647997798;-86;-1153;-117
2021-12-07T21:29:05.987;540170961667515875;-22;-1077;-415
2021-12-07T21:29:06.006;540170961687033952;125;-1413;-558
2021-12-07T21:29:06.026;540170961706552029;246;-1134;-107
2021-12-07T21:29:06.045;540170961726070106;672;-1081;640
2021-12-07T21:29:06.065;540170961745588183;818;-1131;896
2021-12-07T21:29:06.084;540170961765106260;812;-1094;836
2021-12-07T21:29:06.104;540170961784624337;613;-1093;358
2021-12-07T21:29:06.123;540170961804142414;551;-1168;155
2021-12-07T21:29:06.143;540170961823660491;357;-1226;-98
2021-12-07T21:29:06.162;540170961843178568;368;-1256;80
2021-12-07T21:29:06.182;540170961862696645;471;-1275;133
2021-12-07T21:29:06.201;540170961882214722;597;-1178;99
2021-12-07T21:29:06.221;540170961901732799;750;-1166;195
2021-12-07T21:29:06.240;540170961921250876;697;-1161;178
2021-12-07T21:29:06.260;540170961940768953;956;-1234;23
2021-12-07T21:29:06.279;540170961960287030;895;-1228;8
2021-12-07T21:29:06.299;540170961979805107;900;-1207;23
2021-12-07T21:29:06.318;540170961999323184;971;-1166;0
2021-12-07T21:29:06.338;540170962018841261;860;-1038;-7
2021-12-07T21:29:06.357;540170962038359338;776;-1003;-62
2021-12-07T21:29:06.377;540170962057877415;614;-971;-72
2021-12-07T21:29:06.396;540170962077395492;441;-901;-90
2021-12-07T21:29:06.416;540170962096913569;297;-852;-94
2021-12-07T21:29:06.435;540170962116431646;145;-784;-64
2021-12-07T21:29:06.455;540170962135949723;-17;-702;-25
2021-12-07T21:29:06.474;540170962155467800;-201;-594;108
2021-12-07T21:29:06.494;540170962174985877;-370;-687;242
2021-12-07T21:29:06.514;540170962194503954;-546;-792;163
2021-12-07T21:29:06.533;540170962214022031;-626;-918;147
2021-12-07T21:29:06.553;540170962233540108;-548;-918;404
2021-12-07T21:29:06.572;540170962253058185;-343;-960;659
2021-12-07T21:29:06.592;540170962272576262;-65;-868;981
2021-12-07T21:29:06.611;540170962292094339;228;-927;1150
2021-12-07T21:29:06.631;540170962311612416;498;-853;1286
2021-12-07T21:29:06.650;540170962331130497;674;-848;1194
2021-12-07T21:29:06.670;540170962350648574;745;-796;1151
