Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:17:33.467;540170269107965733;-1184;876;1224
2021-12-07T21:17:33.486;540170269127484174;-1209;620;1085
2021-12-07T21:17:33.506;540170269147002615;-1032;366;648
2021-12-07T21:17:33.525;540170269166521056;-828;122;515
2021-12-07T21:17:33.545;540170269186039497;-750;-82;703
2021-12-07T21:17:33.564;540170269205557938;-695;-278;659
2021-12-07T21:17:33.584;540170269225076379;-746;-375;535
2021-12-07T21:17:33.603;540170269244594820;-800;-418;515
2021-12-07T21:17:33.623;540170269264113261;-844;-531;481
2021-12-07T21:17:33.642;540170269283631702;-889;-558;468
2021-12-07T21:17:33.662;540170269303150143;-937;-509;528
2021-12-07T21:17:33.681;540170269322668584;-1003;-321;638
2021-12-07T21:17:33.701;540170269342187025;-984;-103;659
2021-12-07T21:17:33.720;540170269361705466;-917;212;628
2021-12-07T21:17:33.740;540170269381223907;-860;479;620
2021-12-07T21:17:33.759;540170269400742348;-776;868;667
2021-12-07T21:17:33.779;540170269420260789;-686;1297;717
2021-12-07T21:17:33.798;540170269439779230;-631;1579;580
2021-12-07T21:17:33.818;540170269459297671;-641;1777;517
2021-12-07T21:17:33.837;540170269478816112;-1147;1962;557
2021-12-07T21:17:33.857;540170269498334553;-686;1744;664
2021-12-07T21:17:33.876;540170269517852994;-610;1324;384
2021-12-07T21:17:33.896;540170269537371435;-625;1008;456
2021-12-07T21:17:33.915;540170269556889876;-508;721;388
2021-12-07T21:17:33.935;540170269576408317;-438;618;307
2021-12-07T21:17:33.954;540170269595926758;-359;403;219
2021-12-07T21:17:33.974;540170269615445199;-299;199;187
2021-12-07T21:17:33.993;540170269634963640;-260;119;222
2021-12-07T21:17:34.013;540170269654482081;-267;197;341
2021-12-07T21:17:34.033;540170269674000522;-329;331;293
2021-12-07T21:17:34.052;540170269693518963;-382;754;236
2021-12-07T21:17:34.072;540170269713037404;-397;1316;219
2021-12-07T21:17:34.091;540170269732555845;-443;1939;308
2021-12-07T21:17:34.111;540170269752074286;-422;1670;98
2021-12-07T21:17:34.130;540170269771592727;-378;1594;0
2021-12-07T21:17:34.150;540170269791111168;-417;1505;241
2021-12-07T21:17:34.169;540170269810629617;-481;1205;489
2021-12-07T21:17:34.189;540170269830148058;-518;785;642
2021-12-07T21:17:34.208;540170269849666499;-546;446;496
2021-12-07T21:17:34.228;540170269869184940;-536;193;227
2021-12-07T21:17:34.247;540170269888703381;-488;-98;17
2021-12-07T21:17:34.267;540170269908221822;-447;-314;-7
2021-12-07T21:17:34.286;540170269927740263;-470;-469;141
2021-12-07T21:17:34.306;540170269947258704;-512;-443;340
2021-12-07T21:17:34.325;540170269966777145;-557;-306;500
2021-12-07T21:17:34.345;540170269986295586;-565;-128;647
2021-12-07T21:17:34.364;540170270005814027;-573;160;737
2021-12-07T21:17:34.384;540170270025332468;-621;379;838
2021-12-07T21:17:34.403;540170270044850909;-611;697;839
2021-12-07T21:17:34.423;540170270064369350;-527;1125;613
2021-12-07T21:17:34.442;540170270083887791;-426;1706;287
2021-12-07T21:17:34.462;540170270103406232;-428;1903;209
2021-12-07T21:17:34.481;540170270122924673;-511;1769;364
2021-12-07T21:17:34.501;540170270142443114;-530;1426;464
2021-12-07T21:17:34.520;540170270161961555;-496;1029;396
2021-12-07T21:17:34.540;540170270181479996;-416;639;291
2021-12-07T21:17:34.560;540170270200998437;-369;417;231
2021-12-07T21:17:34.579;540170270220516878;-357;206;227
2021-12-07T21:17:34.599;540170270240035319;-445;15;340
2021-12-07T21:17:34.618;540170270259553760;-540;-85;479
2021-12-07T21:17:34.638;540170270279072201;-567;-59;498
2021-12-07T21:17:34.657;540170270298590642;-511;-3;419
2021-12-07T21:17:34.677;540170270318109083;-529;167;384
2021-12-07T21:17:34.696;540170270337627524;-571;494;487
2021-12-07T21:17:34.716;540170270357145965;-3229;528;232
2021-12-07T21:17:34.735;540170270376664406;-1371;598;899
2021-12-07T21:17:34.755;540170270396182847;-123;615;84
2021-12-07T21:17:34.774;540170270415701288;-605;893;215
2021-12-07T21:17:34.794;540170270435219729;-680;580;449
2021-12-07T21:17:34.813;540170270454738170;-511;615;583
2021-12-07T21:17:34.833;540170270474256611;-754;475;426
2021-12-07T21:17:34.852;540170270493775052;-619;491;477
2021-12-07T21:17:34.872;540170270513292401;-731;626;449
2021-12-07T21:17:34.891;540170270532809750;-505;725;472
2021-12-07T21:17:34.911;540170270552327099;-501;824;354
2021-12-07T21:17:34.930;540170270571844448;-502;1048;368
2021-12-07T21:17:34.950;540170270591361797;-239;1273;11
2021-12-07T21:17:34.969;540170270610879146;-88;1531;-85
2021-12-07T21:17:34.989;540170270630396495;-35;1721;-275
2021-12-07T21:17:35.008;540170270649913844;-227;1598;-492
2021-12-07T21:17:35.028;540170270669431193;-46;1772;-232
2021-12-07T21:17:35.047;540170270688948542;-344;1412;-6
2021-12-07T21:17:35.067;540170270708465891;-393;1378;-84
2021-12-07T21:17:35.087;540170270727983240;-387;1565;-197
2021-12-07T21:17:35.106;540170270747500589;-344;1853;-458
2021-12-07T21:17:35.126;540170270767017938;-443;2020;-635
2021-12-07T21:17:35.145;540170270786535287;-581;2124;-663
2021-12-07T21:17:35.165;540170270806052636;-542;2234;-575
2021-12-07T21:17:35.184;540170270825569985;-95;2177;-478
2021-12-07T21:17:35.204;540170270845087334;795;2023;-414
2021-12-07T21:17:35.223;540170270864604683;324;1633;-1431
2021-12-07T21:17:35.243;540170270884122032;354;1187;-782
2021-12-07T21:17:35.262;540170270903639381;-1959;773;266
2021-12-07T21:17:35.282;540170270923156730;-347;809;541
2021-12-07T21:17:35.301;540170270942674079;-1100;355;217
2021-12-07T21:17:35.321;540170270962191428;-752;453;-208
2021-12-07T21:17:35.340;540170270981708777;-631;481;-169
2021-12-07T21:17:35.360;540170271001226126;-742;517;483
2021-12-07T21:17:35.379;540170271020743475;-1042;253;1239
2021-12-07T21:17:35.399;540170271040260824;-1542;88;1848
2021-12-07T21:17:35.418;540170271059778173;-1410;-66;790
2021-12-07T21:17:35.438;540170271079295522;-781;-57;-82
2021-12-07T21:17:35.457;540170271098812871;-550;98;-290
2021-12-07T21:17:35.477;540170271118330220;-711;287;258
2021-12-07T21:17:35.496;540170271137847569;-808;605;808
2021-12-07T21:17:35.516;540170271157364918;-754;731;636
2021-12-07T21:17:35.535;540170271176882267;-553;782;224
2021-12-07T21:17:35.555;540170271196399616;-618;669;258
2021-12-07T21:17:35.574;540170271215914796;-659;512;404
2021-12-07T21:17:35.594;540170271235429960;-694;465;442
2021-12-07T21:17:35.613;540170271254945124;-569;631;298
2021-12-07T21:17:35.633;540170271274460288;-599;619;479
2021-12-07T21:17:35.653;540170271293975452;-682;629;546
2021-12-07T21:17:35.672;540170271313490616;-610;633;571
2021-12-07T21:17:35.692;540170271333005780;-489;710;454
2021-12-07T21:17:35.711;540170271352520944;-419;795;326
2021-12-07T21:17:35.731;540170271372036108;-398;723;421
2021-12-07T21:17:35.750;540170271391551272;-515;736;705
2021-12-07T21:17:35.770;540170271411066436;-603;632;743
2021-12-07T21:17:35.789;540170271430581600;-483;620;537
2021-12-07T21:17:35.809;540170271450096764;-359;621;351
2021-12-07T21:17:35.828;540170271469611928;-291;724;314
