Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:27:21.413;540170857039825649;255;-975;316
2021-12-07T21:27:21.432;540170857059329890;138;-1029;210
2021-12-07T21:27:21.452;540170857078834131;220;-877;514
2021-12-07T21:27:21.471;540170857098338372;300;-910;566
2021-12-07T21:27:21.491;540170857117842613;277;-905;573
2021-12-07T21:27:21.510;540170857137346854;335;-962;441
2021-12-07T21:27:21.530;540170857156851095;289;-1013;447
2021-12-07T21:27:21.549;540170857176355336;198;-912;601
2021-12-07T21:27:21.569;540170857195859577;537;-1002;71
2021-12-07T21:27:21.588;540170857215363818;588;-874;166
2021-12-07T21:27:21.608;540170857234868059;670;-1004;129
2021-12-07T21:27:21.627;540170857254372300;458;-1006;136
2021-12-07T21:27:21.647;540170857273876541;626;-1318;160
2021-12-07T21:27:21.666;540170857293380782;523;-1331;32
2021-12-07T21:27:21.686;540170857312885023;346;-1301;193
2021-12-07T21:27:21.705;540170857332389264;539;-1366;-266
2021-12-07T21:27:21.725;540170857351893505;404;-1241;155
2021-12-07T21:27:21.744;540170857371397746;450;-1161;138
2021-12-07T21:27:21.764;540170857390901987;452;-1054;261
2021-12-07T21:27:21.783;540170857410406228;397;-1112;214
2021-12-07T21:27:21.803;540170857429910469;500;-1085;192
2021-12-07T21:27:21.822;540170857449414710;392;-960;343
2021-12-07T21:27:21.842;540170857468918951;475;-909;268
2021-12-07T21:27:21.861;540170857488423192;312;-930;364
2021-12-07T21:27:21.881;540170857507927433;390;-880;484
2021-12-07T21:27:21.900;540170857527431674;191;-862;553
2021-12-07T21:27:21.920;540170857546935915;308;-844;670
2021-12-07T21:27:21.939;540170857566440156;286;-697;678
2021-12-07T21:27:21.959;540170857585944397;241;-717;454
2021-12-07T21:27:21.978;540170857605448638;511;-942;448
2021-12-07T21:27:21.998;540170857624952879;195;-1095;455
2021-12-07T21:27:22.017;540170857644457120;98;-1137;403
2021-12-07T21:27:22.037;540170857663961361;-19;-1253;608
2021-12-07T21:27:22.056;540170857683465602;24;-1072;538
2021-12-07T21:27:22.076;540170857702969843;193;-1034;425
2021-12-07T21:27:22.095;540170857722474084;356;-875;510
2021-12-07T21:27:22.115;540170857741978355;313;-1079;281
2021-12-07T21:27:22.134;540170857761482596;429;-997;336
2021-12-07T21:27:22.154;540170857780986837;382;-1123;295
2021-12-07T21:27:22.173;540170857800491078;334;-1144;257
2021-12-07T21:27:22.193;540170857819995319;370;-989;434
2021-12-07T21:27:22.212;540170857839499560;443;-901;443
2021-12-07T21:27:22.232;540170857859003801;343;-859;487
2021-12-07T21:27:22.251;540170857878508042;360;-656;484
2021-12-07T21:27:22.271;540170857898012283;330;-756;507
2021-12-07T21:27:22.290;540170857917516524;383;-743;516
2021-12-07T21:27:22.310;540170857937020765;415;-797;520
2021-12-07T21:27:22.329;540170857956525006;510;-874;561
2021-12-07T21:27:22.349;540170857976029247;603;-969;387
2021-12-07T21:27:22.368;540170857995533488;392;-1168;356
2021-12-07T21:27:22.388;540170858015037729;213;-1456;366
2021-12-07T21:27:22.407;540170858034541970;95;-1567;155
2021-12-07T21:27:22.427;540170858054046211;205;-1283;72
2021-12-07T21:27:22.446;540170858073550452;478;-1024;271
2021-12-07T21:27:22.466;540170858093054693;627;-1025;208
2021-12-07T21:27:22.485;540170858112558934;535;-836;364
2021-12-07T21:27:22.505;540170858132063175;533;-1006;394
2021-12-07T21:27:22.524;540170858151567416;351;-1127;397
2021-12-07T21:27:22.544;540170858171071657;175;-1042;360
2021-12-07T21:27:22.563;540170858190575898;231;-1049;396
2021-12-07T21:27:22.583;540170858210080139;451;-862;614
2021-12-07T21:27:22.602;540170858229584380;399;-764;425
2021-12-07T21:27:22.622;540170858249088621;440;-759;674
2021-12-07T21:27:22.641;540170858268592862;281;-913;402
2021-12-07T21:27:22.661;540170858288097103;293;-743;775
2021-12-07T21:27:22.680;540170858307601344;365;-920;544
2021-12-07T21:27:22.700;540170858327105585;385;-1039;133
2021-12-07T21:27:22.719;540170858346609826;281;-1341;-15
2021-12-07T21:27:22.739;540170858366114067;61;-1387;-136
2021-12-07T21:27:22.758;540170858385618308;127;-1415;317
2021-12-07T21:27:22.778;540170858405122549;37;-1258;789
2021-12-07T21:27:22.797;540170858424626790;166;-938;868
2021-12-07T21:27:22.817;540170858444120479;506;-791;570
2021-12-07T21:27:22.836;540170858463614162;547;-974;584
2021-12-07T21:27:22.856;540170858483107845;617;-1127;-547
2021-12-07T21:27:22.875;540170858502601528;387;-1225;252
2021-12-07T21:27:22.895;540170858522095211;309;-1265;533
2021-12-07T21:27:22.914;540170858541588894;601;-989;460
2021-12-07T21:27:22.934;540170858561082577;544;-984;685
2021-12-07T21:27:22.953;540170858580576260;344;-836;144
2021-12-07T21:27:22.973;540170858600069943;359;-924;353
2021-12-07T21:27:22.992;540170858619563626;290;-933;578
2021-12-07T21:27:23.012;540170858639057309;260;-1120;383
2021-12-07T21:27:23.031;540170858658550992;132;-1208;413
2021-12-07T21:27:23.051;540170858678044675;146;-1324;132
2021-12-07T21:27:23.070;540170858697538358;-17;-1368;-7
2021-12-07T21:27:23.090;540170858717032041;24;-1322;102
2021-12-07T21:27:23.109;540170858736525724;71;-1160;125
2021-12-07T21:27:23.129;540170858756019407;213;-1073;663
2021-12-07T21:27:23.148;540170858775513090;471;-890;672
2021-12-07T21:27:23.168;540170858795006773;355;-884;865
2021-12-07T21:27:23.187;540170858814500456;450;-989;526
2021-12-07T21:27:23.207;540170858833994139;324;-978;322
2021-12-07T21:27:23.226;540170858853487822;439;-902;324
2021-12-07T21:27:23.246;540170858872981505;643;-905;355
2021-12-07T21:27:23.265;540170858892475188;301;-853;261
2021-12-07T21:27:23.285;540170858911968871;420;-820;748
2021-12-07T21:27:23.304;540170858931462554;408;-774;657
2021-12-07T21:27:23.324;540170858950956237;316;-809;637
2021-12-07T21:27:23.343;540170858970449920;401;-797;483
2021-12-07T21:27:23.363;540170858989943603;354;-755;501
2021-12-07T21:27:23.382;540170859009437286;563;-636;517
2021-12-07T21:27:23.402;540170859028930969;569;-639;655
2021-12-07T21:27:23.421;540170859048424652;384;-663;518
2021-12-07T21:27:23.441;540170859067918335;635;-911;725
2021-12-07T21:27:23.460;540170859087412018;326;-1031;622
2021-12-07T21:27:23.480;540170859106905701;127;-1017;798
2021-12-07T21:27:23.499;540170859126399384;304;-1018;22
2021-12-07T21:27:23.519;540170859145905822;274;-934;546
2021-12-07T21:27:23.538;540170859165412248;370;-986;409
2021-12-07T21:27:23.558;540170859184918674;289;-1043;395
2021-12-07T21:27:23.577;540170859204425100;253;-1047;481
2021-12-07T21:27:23.597;540170859223931526;56;-1025;617
2021-12-07T21:27:23.616;540170859243437952;44;-1092;662
2021-12-07T21:27:23.636;540170859262944378;17;-1028;604
2021-12-07T21:27:23.655;540170859282450804;88;-968;636
2021-12-07T21:27:23.675;540170859301957230;160;-888;547
2021-12-07T21:27:23.694;540170859321463656;152;-835;643
2021-12-07T21:27:23.714;540170859340970082;207;-785;413
2021-12-07T21:27:23.733;540170859360476508;314;-628;627
2021-12-07T21:27:23.753;540170859379982934;427;-556;809
2021-12-07T21:27:23.772;540170859399489360;426;-553;651
2021-12-07T21:27:23.792;540170859418995786;541;-551;637
2021-12-07T21:27:23.811;540170859438502212;738;-582;785
2021-12-07T21:27:23.831;540170859458008638;612;-718;701
2021-12-07T21:27:23.850;540170859477515064;488;-797;613
2021-12-07T21:27:23.870;540170859497021490;462;-862;608
2021-12-07T21:27:23.889;540170859516527916;311;-802;421
2021-12-07T21:27:23.909;540170859536034342;287;-817;482
2021-12-07T21:27:23.928;540170859555540768;198;-918;713
2021-12-07T21:27:23.948;540170859575047194;5;-994;541
2021-12-07T21:27:23.967;540170859594553620;10;-1180;413
2021-12-07T21:27:23.987;540170859614060046;-83;-1004;781
2021-12-07T21:27:24.006;540170859633566472;97;-1057;403
2021-12-07T21:27:24.026;540170859653072898;257;-854;787
2021-12-07T21:27:24.045;540170859672579324;418;-862;678
2021-12-07T21:27:24.065;540170859692085750;465;-823;635
2021-12-07T21:27:24.084;540170859711592176;322;-754;709
2021-12-07T21:27:24.104;540170859731098602;645;-637;368
2021-12-07T21:27:24.123;540170859750605028;563;-542;275
2021-12-07T21:27:24.143;540170859770111454;553;-562;487
2021-12-07T21:27:24.162;540170859789617880;470;-485;902
2021-12-07T21:27:24.182;540170859809124306;628;-563;676
2021-12-07T21:27:24.201;540170859828630732;410;-602;822
2021-12-07T21:27:24.221;540170859848137164;220;-820;708
2021-12-07T21:27:24.240;540170859867643590;4;-947;462
2021-12-07T21:27:24.260;540170859887150016;-160;-935;655
2021-12-07T21:27:24.279;540170859906656442;-220;-1011;503
2021-12-07T21:27:24.299;540170859926162868;-226;-1050;647
2021-12-07T21:27:24.318;540170859945669294;-222;-1063;743
2021-12-07T21:27:24.338;540170859965175720;-354;-1140;897
2021-12-07T21:27:24.357;540170859984682146;-490;-1192;735
2021-12-07T21:27:24.377;540170860004188572;-571;-1167;470
2021-12-07T21:27:24.396;540170860023694998;-432;-1128;415
2021-12-07T21:27:24.416;540170860043201424;-249;-1188;316
2021-12-07T21:27:24.435;540170860062707850;462;-1327;29
2021-12-07T21:27:24.455;540170860082214276;1854;-1538;-922
2021-12-07T21:27:24.474;540170860101720702;3271;-2126;-2186
2021-12-07T21:27:24.494;540170860121227128;4618;-3141;-3257
2021-12-07T21:27:24.513;540170860140733554;5410;-3577;-2578
2021-12-07T21:27:24.533;540170860160239980;6185;-4531;-4333
