Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-16T22:13:35.886;538359174783362375;-468;738;-449
2021-11-16T22:13:35.905;538359174802873170;-591;718;-270
2021-11-16T22:13:35.925;538359174822383965;-525;717;-294
2021-11-16T22:13:35.944;538359174841894760;-515;756;-227
2021-11-16T22:13:35.964;538359174861405555;-560;772;-119
2021-11-16T22:13:35.983;538359174880916350;-571;759;-169
2021-11-16T22:13:36.003;538359174900427145;-535;748;-255
2021-11-16T22:13:36.022;538359174919937940;-641;755;-189
2021-11-16T22:13:36.042;538359174939448735;-571;760;-84
2021-11-16T22:13:36.061;538359174958959530;-526;755;-240
2021-11-16T22:13:36.081;538359174978470325;-593;733;-272
2021-11-16T22:13:36.100;538359174997981120;-546;741;-320
2021-11-16T22:13:36.120;538359175017491915;-488;771;-301
2021-11-16T22:13:36.139;538359175037002710;-475;799;-297
2021-11-16T22:13:36.159;538359175056513505;-568;790;-247
2021-11-16T22:13:36.178;538359175076024300;-557;782;-244
2021-11-16T22:13:36.198;538359175095535095;-522;804;-273
2021-11-16T22:13:36.217;538359175115045890;-516;800;-328
2021-11-16T22:13:36.237;538359175134556685;-507;766;-280
2021-11-16T22:13:36.256;538359175154067480;-541;752;-256
2021-11-16T22:13:36.276;538359175173578275;-579;751;-255
2021-11-16T22:13:36.295;538359175193089070;-514;747;-355
2021-11-16T22:13:36.315;538359175212599865;-500;709;-385
2021-11-16T22:13:36.334;538359175232110660;-480;668;-328
2021-11-16T22:13:36.354;538359175251621455;-630;726;-666
2021-11-16T22:13:36.373;538359175271132250;-348;674;-583
2021-11-16T22:13:36.393;538359175290643045;-383;713;-589
2021-11-16T22:13:36.412;538359175310153840;-420;794;-394
2021-11-16T22:13:36.432;538359175329664635;-477;926;-242
2021-11-16T22:13:36.451;538359175349175430;-638;1067;124
2021-11-16T22:13:36.471;538359175368686225;-836;1411;820
2021-11-16T22:13:36.490;538359175388197020;-1386;1816;1920
2021-11-16T22:13:36.510;538359175407707815;-1442;1772;924
2021-11-16T22:13:36.529;538359175427218610;-2382;1985;1946
2021-11-16T22:13:36.549;538359175446729405;-3108;2061;2580
2021-11-16T22:13:36.568;538359175466240200;-2859;1873;2759
2021-11-16T22:13:36.588;538359175485751013;-1676;1717;1833
2021-11-16T22:13:36.607;538359175505261808;117;2286;2674
