Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-16T22:14:11.217;538359210092581597;-508;650;-399
2021-11-16T22:14:11.236;538359210112094212;-506;670;-369
2021-11-16T22:14:11.256;538359210131606827;-515;647;-289
2021-11-16T22:14:11.275;538359210151119442;-564;637;-149
2021-11-16T22:14:11.295;538359210170632057;-611;637;-89
2021-11-16T22:14:11.314;538359210190144672;-608;642;-139
2021-11-16T22:14:11.334;538359210209657287;-574;645;-154
2021-11-16T22:14:11.353;538359210229169902;-557;623;-105
2021-11-16T22:14:11.373;538359210248682517;-589;659;-27
2021-11-16T22:14:11.392;538359210268195132;-633;720;-44
2021-11-16T22:14:11.412;538359210287707747;-663;743;-56
2021-11-16T22:14:11.431;538359210307220362;-689;750;-57
2021-11-16T22:14:11.451;538359210326732977;-662;739;-109
2021-11-16T22:14:11.470;538359210346245592;-640;701;-118
2021-11-16T22:14:11.490;538359210365758207;-637;680;-127
2021-11-16T22:14:11.509;538359210385270822;-637;649;-136
2021-11-16T22:14:11.529;538359210404783437;-634;628;-174
2021-11-16T22:14:11.548;538359210424296052;-633;631;-221
2021-11-16T22:14:11.568;538359210443808667;-633;642;-254
2021-11-16T22:14:11.587;538359210463321282;-634;648;-293
2021-11-16T22:14:11.607;538359210482833897;-630;631;-298
2021-11-16T22:14:11.626;538359210502346512;-631;655;-346
2021-11-16T22:14:11.646;538359210521859127;-639;663;-339
2021-11-16T22:14:11.665;538359210541371742;-647;691;-323
2021-11-16T22:14:11.685;538359210560884357;-661;687;-320
2021-11-16T22:14:11.704;538359210580396972;-711;696;-225
2021-11-16T22:14:11.724;538359210599909587;-707;698;-235
2021-11-16T22:14:11.743;538359210619422202;-718;676;-227
2021-11-16T22:14:11.763;538359210638934817;-709;636;-235
2021-11-16T22:14:11.782;538359210658447432;-701;626;-235
2021-11-16T22:14:11.802;538359210677960047;-726;637;-224
2021-11-16T22:14:11.821;538359210697472662;-773;660;-132
2021-11-16T22:14:11.841;538359210716985277;-825;649;-19
2021-11-16T22:14:11.860;538359210736497892;-873;677;102
2021-11-16T22:14:11.880;538359210756010507;-832;744;113
2021-11-16T22:14:11.899;538359210775523122;-760;767;64
2021-11-16T22:14:11.919;538359210795035767;-673;759;25
2021-11-16T22:14:11.938;538359210814548382;-629;776;37
2021-11-16T22:14:11.958;538359210834060997;-563;767;-5
2021-11-16T22:14:11.977;538359210853573612;-486;752;-90
2021-11-16T22:14:11.997;538359210873086227;-408;745;-136
2021-11-16T22:14:12.017;538359210892598842;-409;751;-90
2021-11-16T22:14:12.036;538359210912111457;-477;752;22
2021-11-16T22:14:12.056;538359210931624072;-519;743;103
2021-11-16T22:14:12.075;538359210951136687;-540;737;93
2021-11-16T22:14:12.095;538359210970649302;-549;740;61
2021-11-16T22:14:12.114;538359210990161917;-544;732;27
2021-11-16T22:14:12.134;538359211009674532;-561;691;24
2021-11-16T22:14:12.153;538359211029187147;-582;665;18
2021-11-16T22:14:12.173;538359211048699762;-614;683;24
2021-11-16T22:14:12.192;538359211068212377;-630;702;26
2021-11-16T22:14:12.212;538359211087724992;-644;704;26
2021-11-16T22:14:12.231;538359211107237607;-693;699;24
2021-11-16T22:14:12.251;538359211126750222;-715;712;0
2021-11-16T22:14:12.270;538359211146262837;-735;730;-25
2021-11-16T22:14:12.290;538359211165775452;-738;730;-88
2021-11-16T22:14:12.309;538359211185288067;-734;726;-140
2021-11-16T22:14:12.329;538359211204800682;-746;737;-165
2021-11-16T22:14:12.348;538359211224313297;-770;749;-125
2021-11-16T22:14:12.368;538359211243825912;-778;752;-86
2021-11-16T22:14:12.387;538359211263338527;-770;744;-99
2021-11-16T22:14:12.407;538359211282851142;-700;745;-164
2021-11-16T22:14:12.426;538359211302363757;-633;756;-211
2021-11-16T22:14:12.446;538359211321876372;-625;760;-207
2021-11-16T22:14:12.465;538359211341388987;-624;747;-190
2021-11-16T22:14:12.485;538359211360901602;-589;713;-239
2021-11-16T22:14:12.504;538359211380414217;-561;672;-271
2021-11-16T22:14:12.524;538359211399926832;-565;669;-253
2021-11-16T22:14:12.543;538359211419439447;-598;689;-173
2021-11-16T22:14:12.563;538359211438952062;-603;718;-132
2021-11-16T22:14:12.582;538359211458464677;-552;717;-182
2021-11-16T22:14:12.602;538359211477977292;-507;702;-250
2021-11-16T22:14:12.621;538359211497487367;-498;701;-263
2021-11-16T22:14:12.641;538359211516997434;-499;724;-246
2021-11-16T22:14:12.660;538359211536507501;-505;751;-217
2021-11-16T22:14:12.680;538359211556017568;-500;766;-211
2021-11-16T22:14:12.699;538359211575527635;-498;795;-207
2021-11-16T22:14:12.719;538359211595037702;-2058;741;-47
2021-11-16T22:14:12.738;538359211614547769;-322;861;-245
2021-11-16T22:14:12.758;538359211634057836;-392;653;-312
2021-11-16T22:14:12.777;538359211653567903;-413;736;-188
2021-11-16T22:14:12.797;538359211673077970;-401;684;-93
2021-11-16T22:14:12.817;538359211692588037;-1020;791;-63
2021-11-16T22:14:12.836;538359211712098104;-620;553;-27
2021-11-16T22:14:12.856;538359211731608171;-697;737;-46
2021-11-16T22:14:12.875;538359211751118238;-748;673;-122
2021-11-16T22:14:12.895;538359211770628305;-671;668;-188
2021-11-16T22:14:12.914;538359211790138372;-705;655;-173
2021-11-16T22:14:12.934;538359211809648439;-678;706;-158
2021-11-16T22:14:12.953;538359211829158506;-661;723;-136
2021-11-16T22:14:12.973;538359211848668573;-635;737;-135
2021-11-16T22:14:12.992;538359211868178640;-619;736;-155
2021-11-16T22:14:13.012;538359211887688707;-602;736;-193
2021-11-16T22:14:13.031;538359211907198774;-592;741;-211
2021-11-16T22:14:13.051;538359211926708841;-582;750;-196
2021-11-16T22:14:13.070;538359211946218908;-581;744;-218
2021-11-16T22:14:13.090;538359211965728975;-617;718;-238
2021-11-16T22:14:13.109;538359211985239042;-636;679;-269
2021-11-16T22:14:13.129;538359212004749109;-655;679;-230
2021-11-16T22:14:13.148;538359212024259176;-615;711;-220
2021-11-16T22:14:13.168;538359212043769243;-627;699;-227
2021-11-16T22:14:13.187;538359212063279310;-639;695;-218
2021-11-16T22:14:13.207;538359212082789377;-601;714;-262
2021-11-16T22:14:13.226;538359212102299444;-569;727;-270
2021-11-16T22:14:13.246;538359212121809511;-598;725;-193
2021-11-16T22:14:13.265;538359212141319578;-588;731;-115
2021-11-16T22:14:13.285;538359212160829645;-563;770;-118
2021-11-16T22:14:13.304;538359212180339712;-616;698;-222
2021-11-16T22:14:13.324;538359212199851619;-678;654;-225
2021-11-16T22:14:13.343;538359212219363506;-723;616;-172
2021-11-16T22:14:13.363;538359212238875393;-688;650;-70
2021-11-16T22:14:13.382;538359212258387280;-669;712;-13
2021-11-16T22:14:13.402;538359212277899167;-632;743;-26
2021-11-16T22:14:13.421;538359212297411054;-632;747;-89
2021-11-16T22:14:13.441;538359212316922941;-635;738;-198
2021-11-16T22:14:13.460;538359212336434828;-614;740;-265
2021-11-16T22:14:13.480;538359212355946715;-594;728;-317
2021-11-16T22:14:13.499;538359212375458602;-522;764;-352
2021-11-16T22:14:13.519;538359212394970489;-501;794;-288
2021-11-16T22:14:13.538;538359212414482376;-547;780;-200
2021-11-16T22:14:13.558;538359212433994263;-533;779;-134
2021-11-16T22:14:13.577;538359212453506150;-543;778;-146
2021-11-16T22:14:13.597;538359212473018037;-510;779;-200
2021-11-16T22:14:13.616;538359212492529924;-545;755;-215
2021-11-16T22:14:13.636;538359212512041811;-548;765;-200
2021-11-16T22:14:13.655;538359212531553698;-534;772;-174
2021-11-16T22:14:13.675;538359212551065585;-562;755;-123
2021-11-16T22:14:13.694;538359212570577472;-572;730;-181
2021-11-16T22:14:13.714;538359212590089359;-576;718;-262
2021-11-16T22:14:13.734;538359212609601246;-535;723;-255
2021-11-16T22:14:13.753;538359212629113133;-605;694;-156
2021-11-16T22:14:13.773;538359212648625020;-680;646;-112
2021-11-16T22:14:13.792;538359212668136907;-710;645;-191
2021-11-16T22:14:13.812;538359212687648794;-625;671;-211
2021-11-16T22:14:13.831;538359212707160681;-560;750;-233
2021-11-16T22:14:13.851;538359212726672568;-643;732;-228
2021-11-16T22:14:13.870;538359212746184455;-669;697;-219
2021-11-16T22:14:13.890;538359212765696342;-664;701;-220
2021-11-16T22:14:13.909;538359212785208229;-656;746;-166
2021-11-16T22:14:13.929;538359212804720116;-690;754;-109
2021-11-16T22:14:13.948;538359212824232003;-716;700;-122
2021-11-16T22:14:13.968;538359212843743890;-739;654;-222
2021-11-16T22:14:13.987;538359212863255777;-705;648;-253
2021-11-16T22:14:14.007;538359212882767664;-711;621;-261
2021-11-16T22:14:14.026;538359212902279757;-785;614;-133
2021-11-16T22:14:14.046;538359212921791826;-736;629;-197
2021-11-16T22:14:14.065;538359212941303895;-634;665;-357
2021-11-16T22:14:14.085;538359212960815964;-555;745;-492
2021-11-16T22:14:14.104;538359212980328033;-401;826;-545
2021-11-16T22:14:14.124;538359212999840102;-457;817;-470
2021-11-16T22:14:14.143;538359213019352171;-699;690;-468
2021-11-16T22:14:14.163;538359213038864240;-736;561;-347
2021-11-16T22:14:14.182;538359213058376309;-1137;360;528
2021-11-16T22:14:14.202;538359213077888378;-1028;354;442
2021-11-16T22:14:14.221;538359213097400447;-923;495;121
2021-11-16T22:14:14.241;538359213116912516;-621;697;210
2021-11-16T22:14:14.260;538359213136424585;-552;818;311
2021-11-16T22:14:14.280;538359213155936654;-324;824;355
2021-11-16T22:14:14.299;538359213175448723;-492;807;757
2021-11-16T22:14:14.319;538359213194960792;-541;801;884
2021-11-16T22:14:14.338;538359213214472861;-620;832;1035
2021-11-16T22:14:14.358;538359213233984930;-517;838;1092
2021-11-16T22:14:14.377;538359213253496999;-451;894;925
2021-11-16T22:14:14.397;538359213273009068;-401;903;876
2021-11-16T22:14:14.416;538359213292521137;-346;959;1019
2021-11-16T22:14:14.436;538359213312033206;-377;936;1047
2021-11-16T22:14:14.455;538359213331545275;-482;906;903
2021-11-16T22:14:14.475;538359213351057344;-456;871;654
2021-11-16T22:14:14.494;538359213370569413;-325;878;383
2021-11-16T22:14:14.514;538359213390081482;-366;894;233
2021-11-16T22:14:14.534;538359213409593551;-409;965;139
2021-11-16T22:14:14.553;538359213429105620;-264;973;-24
2021-11-16T22:14:14.573;538359213448617689;-279;964;-459
2021-11-16T22:14:14.592;538359213468129758;-445;967;-870
2021-11-16T22:14:14.612;538359213487641827;-475;887;-938
2021-11-16T22:14:14.631;538359213507153896;-657;833;-1065
2021-11-16T22:14:14.651;538359213526665965;-726;772;-1627
2021-11-16T22:14:14.670;538359213546178034;-767;697;-2110
2021-11-16T22:14:14.690;538359213565690103;-936;696;-2322
2021-11-16T22:14:14.709;538359213585202172;-765;899;-2871
2021-11-16T22:14:14.729;538359213604706811;-320;1234;-4686
2021-11-16T22:14:14.748;538359213624211416;-342;1383;-4800
2021-11-16T22:14:14.768;538359213643716021;372;1623;-4688
2021-11-16T22:14:14.787;538359213663220626;1225;2340;-4794
2021-11-16T22:14:14.807;538359213682725231;-127;2045;-1294
2021-11-16T22:14:14.826;538359213702229836;2615;2789;-5404
2021-11-16T22:14:14.846;538359213721734441;1974;4075;36
2021-11-16T22:14:14.865;538359213741239046;999;3976;2994
2021-11-16T22:14:14.885;538359213760743651;832;3581;5164
2021-11-16T22:14:14.904;538359213780248256;546;2568;6052
2021-11-16T22:14:14.924;538359213799752861;666;1869;5127
2021-11-16T22:14:14.943;538359213819257466;-2295;1305;3236
2021-11-16T22:14:14.963;538359213838762071;-1417;733;2468
2021-11-16T22:14:14.982;538359213858266676;-1564;807;2165
2021-11-16T22:14:15.002;538359213877771281;-936;804;1145
2021-11-16T22:14:15.021;538359213897275886;-717;822;237
2021-11-16T22:14:15.041;538359213916780491;-645;817;276
2021-11-16T22:14:15.060;538359213936285096;-596;759;8
2021-11-16T22:14:15.080;538359213955789701;-587;741;-125
2021-11-16T22:14:15.099;538359213975294306;-591;715;-319
2021-11-16T22:14:15.119;538359213994798911;-510;736;-330
2021-11-16T22:14:15.138;538359214014303516;-566;725;-500
2021-11-16T22:14:15.158;538359214033808121;-484;693;-499
2021-11-16T22:14:15.177;538359214053312726;-538;699;-498
2021-11-16T22:14:15.197;538359214072817331;-530;671;-493
2021-11-16T22:14:15.216;538359214092321936;-613;642;-593
2021-11-16T22:14:15.236;538359214111826541;-622;614;-543
2021-11-16T22:14:15.255;538359214131331146;-598;634;-426
2021-11-16T22:14:15.275;538359214150835751;-655;623;-356
2021-11-16T22:14:15.294;538359214170340356;-697;609;-345
2021-11-16T22:14:15.314;538359214189844961;-714;616;-312
2021-11-16T22:14:15.333;538359214209349566;-720;637;-198
2021-11-16T22:14:15.353;538359214228854171;-669;665;-176
2021-11-16T22:14:15.372;538359214248358776;-665;669;-220
2021-11-16T22:14:15.392;538359214267863381;-698;637;-334
2021-11-16T22:14:15.411;538359214287367986;-619;707;-284
2021-11-16T22:14:15.431;538359214306877693;-638;666;-390
2021-11-16T22:14:15.450;538359214326387396;-611;692;-375
2021-11-16T22:14:15.470;538359214345897099;-611;711;-272
2021-11-16T22:14:15.489;538359214365406802;-604;719;-242
2021-11-16T22:14:15.509;538359214384916505;-604;685;-315
2021-11-16T22:14:15.528;538359214404426208;-576;717;-275
2021-11-16T22:14:15.548;538359214423935911;-582;713;-276
