Phone timestamp,X [mg],Y [mg],Z [mg],Type,Amount
2021-12-07 21:17:33.467,-1184,876,1224,Shoot,14.0
2021-12-07 21:17:33.486,-1209,620,1085,Pass,6.0
2021-12-07 21:17:33.506,-1032,366,648,,
2021-12-07 21:17:33.525,-828,122,515,,
2021-12-07 21:17:33.545,-750,-82,703,,
2021-12-07 21:17:33.564,-695,-278,659,,
2021-12-07 21:17:33.584,-746,-375,535,,
2021-12-07 21:17:33.603,-800,-418,515,,
2021-12-07 21:17:33.623,-844,-531,481,,
2021-12-07 21:17:33.642,-889,-558,468,,
2021-12-07 21:17:33.662,-937,-509,528,,
2021-12-07 21:17:33.681,-1003,-321,638,,
2021-12-07 21:17:33.701,-984,-103,659,,
2021-12-07 21:17:33.720,-917,212,628,,
2021-12-07 21:17:33.740,-860,479,620,,
2021-12-07 21:17:33.759,-776,868,667,,
2021-12-07 21:17:33.779,-686,1297,717,,
2021-12-07 21:17:33.798,-631,1579,580,,
2021-12-07 21:17:33.818,-641,1777,517,,
2021-12-07 21:17:33.837,-1147,1962,557,,
2021-12-07 21:17:33.857,-686,1744,664,,
2021-12-07 21:17:33.876,-610,1324,384,,
2021-12-07 21:17:33.896,-625,1008,456,,
2021-12-07 21:17:33.915,-508,721,388,,
2021-12-07 21:17:33.935,-438,618,307,,
2021-12-07 21:17:33.954,-359,403,219,,
2021-12-07 21:17:33.974,-299,199,187,,
2021-12-07 21:17:33.993,-260,119,222,,
2021-12-07 21:17:34.013,-267,197,341,,
2021-12-07 21:17:34.033,-329,331,293,,
2021-12-07 21:17:34.052,-382,754,236,,
2021-12-07 21:17:34.072,-397,1316,219,,
2021-12-07 21:17:34.091,-443,1939,308,,
2021-12-07 21:17:34.111,-422,1670,98,,
2021-12-07 21:17:34.130,-378,1594,0,,
2021-12-07 21:17:34.150,-417,1505,241,,
2021-12-07 21:17:34.169,-481,1205,489,,
2021-12-07 21:17:34.189,-518,785,642,,
2021-12-07 21:17:34.208,-546,446,496,,
2021-12-07 21:17:34.228,-536,193,227,,
2021-12-07 21:17:34.247,-488,-98,17,,
2021-12-07 21:17:34.267,-447,-314,-7,,
2021-12-07 21:17:34.286,-470,-469,141,,
2021-12-07 21:17:34.306,-512,-443,340,,
2021-12-07 21:17:34.325,-557,-306,500,,
2021-12-07 21:17:34.345,-565,-128,647,,
2021-12-07 21:17:34.364,-573,160,737,,
2021-12-07 21:17:34.384,-621,379,838,,
2021-12-07 21:17:34.403,-611,697,839,,
2021-12-07 21:17:34.423,-527,1125,613,,
2021-12-07 21:17:34.442,-426,1706,287,,
2021-12-07 21:17:34.462,-428,1903,209,,
2021-12-07 21:17:34.481,-511,1769,364,,
2021-12-07 21:17:34.501,-530,1426,464,,
2021-12-07 21:17:34.520,-496,1029,396,,
2021-12-07 21:17:34.540,-416,639,291,,
2021-12-07 21:17:34.560,-369,417,231,,
2021-12-07 21:17:34.579,-357,206,227,,
2021-12-07 21:17:34.599,-445,15,340,,
2021-12-07 21:17:34.618,-540,-85,479,,
2021-12-07 21:17:34.638,-567,-59,498,,
2021-12-07 21:17:34.657,-511,-3,419,,
2021-12-07 21:17:34.677,-529,167,384,,
2021-12-07 21:17:34.696,-571,494,487,,
2021-12-07 21:17:34.716,-3229,528,232,,
2021-12-07 21:17:34.735,-1371,598,899,,
2021-12-07 21:17:34.755,-123,615,84,,
2021-12-07 21:17:34.774,-605,893,215,,
2021-12-07 21:17:34.794,-680,580,449,,
2021-12-07 21:17:34.813,-511,615,583,,
2021-12-07 21:17:34.833,-754,475,426,,
2021-12-07 21:17:34.852,-619,491,477,,
2021-12-07 21:17:34.872,-731,626,449,,
2021-12-07 21:17:34.891,-505,725,472,,
2021-12-07 21:17:34.911,-501,824,354,,
2021-12-07 21:17:34.930,-502,1048,368,,
2021-12-07 21:17:34.950,-239,1273,11,,
2021-12-07 21:17:34.969,-88,1531,-85,,
2021-12-07 21:17:34.989,-35,1721,-275,,
2021-12-07 21:17:35.008,-227,1598,-492,,
2021-12-07 21:17:35.028,-46,1772,-232,,
2021-12-07 21:17:35.047,-344,1412,-6,,
2021-12-07 21:17:35.067,-393,1378,-84,,
2021-12-07 21:17:35.087,-387,1565,-197,,
2021-12-07 21:17:35.106,-344,1853,-458,,
2021-12-07 21:17:35.126,-443,2020,-635,,
2021-12-07 21:17:35.145,-581,2124,-663,,
2021-12-07 21:17:35.165,-542,2234,-575,,
2021-12-07 21:17:35.184,-95,2177,-478,,
2021-12-07 21:17:35.204,795,2023,-414,,
2021-12-07 21:17:35.223,324,1633,-1431,,
2021-12-07 21:17:35.243,354,1187,-782,,
2021-12-07 21:17:35.262,-1959,773,266,,
2021-12-07 21:17:35.282,-347,809,541,,
2021-12-07 21:17:35.301,-1100,355,217,,
2021-12-07 21:17:35.321,-752,453,-208,,
2021-12-07 21:17:35.340,-631,481,-169,,
2021-12-07 21:17:35.360,-742,517,483,,
2021-12-07 21:17:35.379,-1042,253,1239,,
2021-12-07 21:17:35.399,-1542,88,1848,,
2021-12-07 21:17:35.418,-1410,-66,790,,
2021-12-07 21:17:35.438,-781,-57,-82,,
2021-12-07 21:17:35.457,-550,98,-290,,
2021-12-07 21:17:35.477,-711,287,258,,
2021-12-07 21:17:35.496,-808,605,808,,
2021-12-07 21:17:35.516,-754,731,636,,
2021-12-07 21:17:35.535,-553,782,224,,
2021-12-07 21:17:35.555,-618,669,258,,
2021-12-07 21:17:35.574,-659,512,404,,
2021-12-07 21:17:35.594,-694,465,442,,
2021-12-07 21:17:35.613,-569,631,298,,
2021-12-07 21:17:35.633,-599,619,479,,
2021-12-07 21:17:35.653,-682,629,546,,
2021-12-07 21:17:35.672,-610,633,571,,
2021-12-07 21:17:35.692,-489,710,454,,
2021-12-07 21:17:35.711,-419,795,326,,
2021-12-07 21:17:35.731,-398,723,421,,
2021-12-07 21:17:35.750,-515,736,705,,
2021-12-07 21:17:35.770,-603,632,743,,
2021-12-07 21:17:35.789,-483,620,537,,
2021-12-07 21:17:35.809,-359,621,351,,
2021-12-07 21:17:35.828,-291,724,314,,
2021-12-07 21:17:35.848,17,631,748,,
2021-12-07 21:17:35.867,-12,757,320,,
2021-12-07 21:17:35.887,-692,890,1147,,
2021-12-07 21:17:35.906,-117,875,606,,
2021-12-07 21:17:35.926,-219,733,588,,
2021-12-07 21:17:35.945,-73,581,565,,
2021-12-07 21:17:35.965,40,436,625,,
2021-12-07 21:17:35.984,-158,392,522,,
2021-12-07 21:17:36.004,-510,393,861,,
2021-12-07 21:17:36.023,-1076,164,1058,,
2021-12-07 21:17:36.043,-1175,399,622,,
2021-12-07 21:17:36.062,-1045,541,502,,
2021-12-07 21:17:36.082,-936,518,715,,
2021-12-07 21:17:36.101,-729,435,681,,
2021-12-07 21:17:36.121,49,866,57,,
2021-12-07 21:17:36.140,406,752,261,,
2021-12-07 21:17:36.160,-1067,191,1240,,
2021-12-07 21:17:36.179,-495,418,148,,
2021-12-07 21:17:36.199,211,777,426,,
2021-12-07 21:17:36.218,768,1225,846,,
2021-12-07 21:17:36.238,705,1117,576,,
2021-12-07 21:17:36.257,-80,848,380,,
2021-12-07 21:17:36.277,-563,727,390,,
2021-12-07 21:17:36.296,-606,706,642,,
2021-12-07 21:17:36.316,-560,731,963,,
2021-12-07 21:17:36.336,-575,715,676,,
2021-12-07 21:17:36.355,-603,745,343,,
2021-12-07 21:17:36.375,-529,715,154,,
2021-12-07 21:17:36.394,-689,865,-196,,
2021-12-07 21:17:36.414,-1664,1235,-599,,
2021-12-07 21:17:36.433,-2598,2361,-4940,,
2021-12-07 21:17:36.453,-4912,4913,-7965,,
2021-12-07 21:17:36.472,-7883,5107,-7921,,
2021-12-07 21:17:36.492,-7564,6151,-7659,,
2021-12-07 21:17:36.511,-1401,4940,-5715,,
2021-12-07 21:17:36.531,-4728,7899,-1597,,
2021-12-07 21:17:36.550,-7985,7927,682,,
2021-12-07 21:17:36.570,-6754,7988,7930,,
2021-12-07 21:17:36.589,-2418,7988,7979,,
2021-12-07 21:17:36.609,2715,7810,7701,,
2021-12-07 21:17:36.628,7039,7988,7984,,
2021-12-07 21:17:36.648,7975,7988,4204,,
2021-12-07 21:17:36.667,7978,6601,-2182,,
2021-12-07 21:17:36.687,7745,4503,-3702,,
2021-12-07 21:17:36.706,6528,3036,-4252,,
2021-12-07 21:17:36.726,5163,1819,-3290,,
2021-12-07 21:17:36.745,3917,1213,-2059,,
2021-12-07 21:17:36.765,3274,978,-666,,
2021-12-07 21:17:36.784,2646,935,440,,
2021-12-07 21:17:36.804,1771,1058,1139,,
2021-12-07 21:17:36.823,916,1187,1103,,
2021-12-07 21:17:36.843,378,1227,1299,,
2021-12-07 21:17:36.862,-179,1125,1636,,
2021-12-07 21:17:36.882,-1496,1525,1720,,
2021-12-07 21:17:36.901,-2753,1572,1987,,
2021-12-07 21:17:36.921,-2291,1509,1963,,
2021-12-07 21:17:36.940,-2047,1628,2015,,
2021-12-07 21:17:36.960,-2475,1673,2116,,
2021-12-07 21:17:36.979,-2645,1615,1611,,
2021-12-07 21:17:36.999,-2325,1623,884,,
2021-12-07 21:17:37.018,-2137,1515,1051,,
2021-12-07 21:17:37.038,-2188,1480,1341,,
2021-12-07 21:17:37.057,-2250,1491,1208,,
2021-12-07 21:17:37.077,-2034,1546,785,,
2021-12-07 21:17:37.096,-1795,1493,420,,
2021-12-07 21:17:37.116,-1888,1310,27,,
2021-12-07 21:17:37.135,-2024,1218,-401,,
2021-12-07 21:17:37.155,-1868,1132,-723,,
2021-12-07 21:17:37.174,-1590,1002,-930,,
2021-12-07 21:17:37.194,-1381,870,-1085,,
2021-12-07 21:17:37.213,-1293,774,-1372,,
2021-12-07 21:17:37.233,-1153,672,-1532,,
2021-12-07 21:17:37.252,-987,599,-1418,,
2021-12-07 21:17:37.272,-914,528,-1323,,
2021-12-07 21:17:37.292,-884,455,-1335,,
2021-12-07 21:17:37.311,-1000,465,-1428,,
2021-12-07 21:17:37.331,-1111,542,-1431,,
2021-12-07 21:17:37.350,-1040,619,-1346,,
2021-12-07 21:17:37.370,-1006,732,-1145,,
2021-12-07 21:17:37.389,-1120,789,-1067,,
2021-12-07 21:17:37.409,-1306,874,-1094,,
2021-12-07 21:17:37.428,-1417,875,-956,,
2021-12-07 21:17:37.448,-1459,864,-445,,
2021-12-07 21:17:37.467,-1529,778,-217,,
2021-12-07 21:17:37.487,-1540,759,-173,,
2021-12-07 21:17:37.506,-1330,726,28,,
2021-12-07 21:17:37.526,-1116,698,139,,
2021-12-07 21:17:37.545,-999,755,159,,
2021-12-07 21:17:37.565,-1019,874,161,,
2021-12-07 21:17:37.584,-1059,801,199,,
2021-12-07 21:17:37.604,-968,544,397,,
2021-12-07 21:17:37.623,-930,352,678,,
2021-12-07 21:17:37.643,-949,163,915,,
2021-12-07 21:17:37.662,-934,31,827,,
2021-12-07 21:17:37.682,-1005,-52,700,,
2021-12-07 21:17:37.701,-1192,-106,760,,
2021-12-07 21:17:37.721,-1173,-75,615,,
2021-12-07 21:17:37.740,-1113,-27,384,,
2021-12-07 21:17:37.760,-988,-375,165,,
2021-12-07 21:17:37.779,-721,-431,-129,,
2021-12-07 21:17:37.799,-548,-465,-149,,
2021-12-07 21:17:37.818,-463,-307,20,,
2021-12-07 21:17:37.838,-397,-113,21,,
2021-12-07 21:17:37.857,-245,-89,-115,,
2021-12-07 21:17:37.877,-135,-161,-231,,
2021-12-07 21:17:37.896,-224,-29,86,,
2021-12-07 21:17:37.916,-278,196,281,,
2021-12-07 21:17:37.936,-132,405,120,,
2021-12-07 21:17:37.955,-189,536,8,,
2021-12-07 21:17:37.975,-298,609,-119,,
2021-12-07 21:17:37.994,-437,814,-314,,
2021-12-07 21:17:38.014,-501,859,-493,,
2021-12-07 21:17:38.033,-330,662,-589,,
2021-12-07 21:17:38.053,-180,557,-586,,
2021-12-07 21:17:38.072,-469,939,-803,,
2021-12-07 21:17:38.092,-860,1212,-1267,,
2021-12-07 21:17:38.111,-1197,1027,-1344,,
2021-12-07 21:17:38.131,-1671,860,-835,,
2021-12-07 21:17:38.150,-1899,704,404,,
2021-12-07 21:17:38.170,-2514,636,1567,,
2021-12-07 21:17:38.189,-2184,233,1953,,
2021-12-07 21:17:38.209,-1389,51,2011,,
2021-12-07 21:17:38.228,-908,74,1756,,
2021-12-07 21:17:38.248,-492,-11,1483,,
2021-12-07 21:17:38.267,-687,-96,1890,,
2021-12-07 21:17:38.287,-722,-184,2399,,
2021-12-07 21:17:38.306,-553,-289,2326,,
2021-12-07 21:17:38.326,-165,-162,1228,,
2021-12-07 21:17:38.345,-138,-128,-721,,
2021-12-07 21:17:38.365,86,-313,-1423,,
2021-12-07 21:17:38.384,-323,-554,-1245,,
2021-12-07 21:17:38.404,568,-562,-1415,,
2021-12-07 21:17:38.423,1028,-810,-1563,,
2021-12-07 21:17:38.443,1444,-1375,-2002,,
2021-12-07 21:17:38.462,496,-2156,-688,,
2021-12-07 21:17:38.482,-1056,-1739,1354,,
2021-12-07 21:17:38.501,-2867,-1586,-230,,
2021-12-07 21:17:38.521,-3948,-1126,-1068,,
2021-12-07 21:17:38.540,-2830,-930,-792,,
2021-12-07 21:17:38.560,-2573,-119,-1247,,
2021-12-07 21:17:38.579,-2171,-88,-1564,,
2021-12-07 21:17:38.599,-1042,232,-1725,,
2021-12-07 21:17:38.618,-321,496,-1965,,
2021-12-07 21:17:38.638,-323,656,-1934,,
2021-12-07 21:17:38.657,-149,750,-1660,,
2021-12-07 21:17:38.677,201,965,-1317,,
2021-12-07 21:17:38.696,590,1075,-893,,
2021-12-07 21:17:38.716,473,922,-502,,
2021-12-07 21:17:38.735,-295,625,-224,,
2021-12-07 21:17:38.755,-775,541,-115,,
2021-12-07 21:17:38.774,-815,414,-253,,
2021-12-07 21:17:38.794,-553,367,-458,,
2021-12-07 21:17:38.814,-240,388,-538,,
2021-12-07 21:17:38.833,-230,643,-523,,
2021-12-07 21:17:38.853,-69,1247,-539,,
2021-12-07 21:17:38.872,-352,1386,-523,,
2021-12-07 21:17:38.892,-1001,1465,-539,,
2021-12-07 21:17:38.911,-1531,1536,-493,,
2021-12-07 21:17:38.931,-2250,1548,-211,,
2021-12-07 21:17:38.950,-2338,1307,19,,
2021-12-07 21:17:38.970,-1946,888,44,,
2021-12-07 21:17:38.989,-1432,368,-122,,
2021-12-07 21:17:39.009,-1462,-100,-245,,
2021-12-07 21:17:39.028,-1665,-403,-304,,
2021-12-07 21:17:39.048,-2043,-509,-149,,
